Lp,Label,(%Miss),ULM,Novo-ulmi
84,782401,0,0,1
83,785401,-5,1,0
7,04_51,0,0,1
20,04_52,-1,0,1
45,04_54,0,0,1
81,04_544,0,0,1
58,04_55,-1,0,1
92,04_56,-1,0,1
8,04_58,0,0,1
21,04_65,-1,0,1
77,AT146,0,0,1
19,AT83,0,0,1
51,BP14,0,0,1
73,BP18,0,0,1
55,C115,0,0,1
13,C510,-2,0,1
27,C511,0,0,1
89,C513,0,0,1
90,C514,0,0,1
37,CKT4,0,0,1
72,DDS100,0,0,1
79,DDS154,-1,0,1
76,DDS170,-1,0,1
3,DDS202,-1,0,1
29,DDS239,-1,0,1
71,DDS241,0,0,1
46,DDS25,-1,0,1
80,DDS257,0,0,1
53,DDS296,-1,0,1
44,DDS298,0,0,1
40,DDS81,-1,0,1
62,DDS82,0,0,1
32,DDS93,-1,0,1
74,ES130,-1,0,1
35,H1018,-5,1,0
47,H1021,-5,1,0
4,H1022,-11,1,0
36,H1096,-10,1,0
18,H2062,-5,1,0
22,H2083,-1,0,1
30,H2086,0,0,1
85,H2091,-1,0,1
5,H2095,-1,0,1
17,H2098,0,0.014,0.986
88,H234D,0,0,1
67,H239,-1,0,1
26,H248,-1,0,1
10,H260,0,0,1
54,H276,-2,0,1
60,H294,0,0,1
9,H295,0,0,1
57,H312,0,0,1
49,H323,0,0,1
86,H328,0,0.001,0.999
33,H332,0,0,1
11,H337,-5,1,0
50,H340,-1,0,1
82,H346,0,0,1
70,H359,-10,1,0
14,H371,0,0,1
38,H379,-13,1,0
43,H413a,0,0.026,0.974
15,H618,-1,0,1
61,H623,-1,0,1
12,H648,0,0,1
56,H649,-5,1,0
87,H809,-5,1,0
65,H864,-5,1,0
68,H868,-11,1,0
78,H871,-5,1,0
23,H872,-5,1,0
41,H873,-5,1,0
28,H909,-13,1,0
63,H924,-5,1,0
6,H986,0,0.011,0.989
25,I131,-11,1,0
91,I185,-11,1,0
64,NZFS184C,0,0,1
75,NZFS601,0,0,1
59,P114,0,0,1
48,P122,0,0,1
94,PG40,-11,1,0
31,R108,0,0,1
2,R22,0,0,1
1,R69,0,0,1
66,TB2,0,0,1
69,TB5,0,0,1
24,TR67,0,0,1
16,TR88,-2,0.073,0.927
93,US137,-1,0,1
39,V14,0,0,1
52,V19,-1,0.01,0.99
34,Yu141,0,0,1
42,Yu16,0,0,1
