Lp,Label,(%Miss),C1,C2,C3,C4,Blank,Region,RegionSmall
1,R69,0,0,0,1,0,0,Europe,EuropeES
2,R22,0,0,0,1,0,0,Europe,EuropeES
3,DDS202,-1,0,0,0,1,0,Namerica,Canada
4,H2095,-1,0,1,0,0,0,Namerica,USA
5,H986,0,0.016,0,0.984,0,0,Asia,Euroasia
6,04_51,0,0,0,0,1,0,Namerica,USA
7,04_58,0,0,0,0,1,0,Namerica,USA
8,H295,0,0.042,0.46,0.092,0.406,0,Europe,EuropeUK
9,H260,0,0,0,1,0,0,Europe,Euroasia
10,H648,0,0,0,1,0,0,Asia,Euroasia
11,C510,-2,0,0,0,1,0,Namerica,USA
12,H371,0,0,0,1,0,0,Europe,EuropeWS
13,H618,-1,0,1,0,0,0,Europe,EuropeN
14,TR88,-2,0.262,0,0.738,0,0,Asia,Euroasia
15,H2098,0,0.079,0,0,0.921,0,Namerica,USA
16,AT83,0,0,0.229,0.502,0.269,0,Europe,EuropeWS
17,04_52,-1,0,0.225,0,0.774,0,Namerica,USA
18,04_65,-1,0,0.075,0,0.925,0,Namerica,USA
19,H2083,-1,0,0,0,1,0,Namerica,USA
20,TR67,0,0,0,1,0,0,Asia,Euroasia
21,H248,-1,0,0,0,1,0,Europe,Euroasia
22,C511,0,0,0,0,1,0,Namerica,USA
23,DDS239,-1,0,0.575,0,0.425,0,Namerica,Canada
24,H2086,0,0,0,0,1,0,Namerica,USA
25,R108,0,0,0,1,0,0,Europe,EuropeES
26,DDS93,-1,0,0.631,0,0.369,0,Namerica,Canada
27,H332,0,0,0,1,0,0,Europe,EuropeWS
28,Yu141,0,0,0,1,0,0,Europe,EuropeES
29,CKT4,0,0,0,1,0,0,Asia,Euroasia
30,V14,0,0.047,0.097,0.849,0.006,0,Asia,Euroasia
31,DDS81,-1,0,0.82,0,0.18,0,Namerica,Canada
32,Yu16,0,0.026,0,0.83,0.143,0,Europe,EuropeES
33,H413a,0,0.103,0,0.897,0,0,Europe,EuropeWS
34,DDS298,0,0,0,0,1,0,Namerica,Canada
35,04_54,0,0,0.185,0,0.815,0,Namerica,USA
36,DDS25,-1,0,0,0,1,0,Namerica,Canada
37,P122,0,0,0,1,0,0,Europe,EuropeES
38,H323,0,0,0,1,0,0,Europe,EuropeX
39,H340,-1,0,0.792,0,0.208,0,Europe,EuropeWS
40,BP14,0,0,0.297,0.703,0,0,Europe,EuropeWS
41,V19,-1,0.144,0.05,0.806,0,0,Asia,Euroasia
42,DDS296,-1,0,0.106,0,0.894,0,Namerica,Canada
43,H276,-2,0,0,1,0,0,Europe,EuropeWS
44,C115,0,0,0,0,1,0,Namerica,USA
45,H312,0,0,0.741,0,0.259,0,Europe,EuropeWS
46,04_55,-1,0,1,0,0,0,Namerica,USA
47,P114,0,0,0,1,0,0,Europe,EuropeES
48,H294,0,0,0,1,0,0,Europe,EuropeUK
49,H623,-1,0,1,0,0,0,Europe,EuropeUK
50,DDS82,0,0,0.276,0,0.724,0,Namerica,Canada
51,NZFS184C,0,0,1,0,0,0,NewZealand,NewZealand
52,TB2,0,0,0,0,1,0,Namerica,Canada
53,H239,-1,0,0,0,1,0,Europe,EuropeWS
54,TB5,0,0,0,0,1,0,Namerica,Canada
55,DDS241,0,0,0.746,0,0.253,0,Namerica,Canada
56,DDS100,0,0,0.651,0,0.349,0,Namerica,Canada
57,BP18,0,0,0.437,0,0.562,0,Europe,EuropeWS
58,ES130,-1,0.032,0.462,0.102,0.403,0,Europe,EuropeWS
59,NZFS601,0,0,1,0,0,0,NewZealand,NewZealand
60,DDS170,-1,0,0,0,1,0,Namerica,Canada
61,AT146,0,0,0.353,0.646,0,0,Europe,EuropeWS
62,DDS154,-1,0,0,0,1,0,Namerica,Canada
63,DDS257,0,0,0.296,0.703,0,0,Namerica,Canada
64,04_544,0,0,0,0,1,0,Namerica,USA
65,H346,0,0,0,1,0,0,Europe,EuropeWS
66,782401,0,0,0.999,0,0,0,Europe,EuropeWS
67,H2091,-1,0,1,0,0,0,Namerica,USA
68,H328,0,0.22,0.2,0.418,0.162,0,Asia,Euroasia
69,H234D,0,0,1,0,0,0,Europe,EuropeWS
70,C513,0,0,0,0,1,0,Namerica,USA
71,C514,0,0,0,0,1,0,Namerica,USA
72,04_56,-1,0,0,0,1,0,Namerica,USA
73,US137,-1,0,0.998,0,0.002,0,Namerica,USA
74,785401,0,0,0,0,0,1,NA,NA
75,H1018,0,0,0,0,0,1,NA,NA
76,H1021,0,0,0,0,0,1,NA,NA
77,H1022,0,0,0,0,0,1,NA,NA
78,H1096,0,0,0,0,0,1,NA,NA
79,H2062,0,0,0,0,0,1,NA,NA
80,H337,0,0,0,0,0,1,NA,NA
81,H359,0,0,0,0,0,1,NA,NA
82,H379,0,0,0,0,0,1,NA,NA
83,H649,0,0,0,0,0,1,NA,NA
84,H809,0,0,0,0,0,1,NA,NA
85,H864,0,0,0,0,0,1,NA,NA
86,H868,0,0,0,0,0,1,NA,NA
87,H871,0,0,0,0,0,1,NA,NA
88,H872,0,0,0,0,0,1,NA,NA
89,H873,0,0,0,0,0,1,NA,NA
90,H909,0,0,0,0,0,1,NA,NA
91,H924,0,0,0,0,0,1,NA,NA
92,I131,0,0,0,0,0,1,NA,NA
93,I185,0,0,0,0,0,1,NA,NA
94,PG40,0,0,0,0,0,1,NA,NA
